product_name,description,price,stock_quantity,brand_name,image_url
iPhone 13 2023,Sản phẩm iPhone 13 2023 chính hãng từ Apple.,14338933,79,Apple,iphone_13_2023.jpg
Galaxy Tab S8 Edition,Sản phẩm Galaxy Tab S8 Edition chính hãng từ Samsung.,42698826,18,Samsung,galaxy_tab_s8_edition.jpg
Asus ROG Strix Pro,Sản phẩm Asus ROG Strix Pro chính hãng từ Asus.,37880103,40,Asus,asus_rog_strix_pro.jpg
Sony Bravia XR Edition,Sản phẩm Sony Bravia XR Edition chính hãng từ Sony.,35726066,11,Sony,sony_bravia_xr_edition.jpg
Canon EOS M50 Lite,Sản phẩm Canon EOS M50 Lite chính hãng từ Canon.,14332382,60,Canon,canon_eos_m50_lite.jpg
iPhone 14 Pro Max 5G,Sản phẩm iPhone 14 Pro Max 5G chính hãng từ Apple.,23936225,89,Apple,iphone_14_pro_max_5g.jpg
Samsung Soundbar Pro,Sản phẩm Samsung Soundbar Pro chính hãng từ Samsung.,43786660,61,Samsung,samsung_soundbar_pro.jpg
Asus ROG Phone 6 SE,Sản phẩm Asus ROG Phone 6 SE chính hãng từ Asus.,6744564,28,Asus,asus_rog_phone_6_se.jpg
Sony WH-1000XM5 Lite,Sản phẩm Sony WH-1000XM5 Lite chính hãng từ Sony.,10456043,60,Sony,sony_wh-1000xm5_lite.jpg
Canon PowerShot G7 X Pro,Sản phẩm Canon PowerShot G7 X Pro chính hãng từ Canon.,10733767,67,Canon,canon_powershot_g7_x_pro.jpg
MacBook Air M2 5G,Sản phẩm MacBook Air M2 5G chính hãng từ Apple.,14186824,98,Apple,macbook_air_m2_5g.jpg
Galaxy S23 Ultra SE,Sản phẩm Galaxy S23 Ultra SE chính hãng từ Samsung.,19457682,73,Samsung,galaxy_s23_ultra_se.jpg
Asus RT-AX86U Router 2023,Sản phẩm Asus RT-AX86U Router 2023 chính hãng từ Asus.,31694588,86,Asus,asus_rt-ax86u_router_2023.jpg
Sony PlayStation 5 SE,Sản phẩm Sony PlayStation 5 SE chính hãng từ Sony.,21432665,78,Sony,sony_playstation_5_se.jpg
Canon SELPHY CP1300 Edition,Sản phẩm Canon SELPHY CP1300 Edition chính hãng từ Canon.,11022363,46,Canon,canon_selphy_cp1300_edition.jpg
MacBook Pro 16 Plus,Sản phẩm MacBook Pro 16 Plus chính hãng từ Apple.,23005409,41,Apple,macbook_pro_16_plus.jpg
Samsung QLED TV SE,Sản phẩm Samsung QLED TV SE chính hãng từ Samsung.,20481831,41,Samsung,samsung_qled_tv_se.jpg
Asus TUF Gaming F15 Pro,Sản phẩm Asus TUF Gaming F15 Pro chính hãng từ Asus.,7304393,54,Asus,asus_tuf_gaming_f15_pro.jpg
Sony ZV-E10 Edition,Sản phẩm Sony ZV-E10 Edition chính hãng từ Sony.,17706011,80,Sony,sony_zv-e10_edition.jpg
Canon EOS R5 Plus,Sản phẩm Canon EOS R5 Plus chính hãng từ Canon.,25247427,39,Canon,canon_eos_r5_plus.jpg
Apple Watch Series 9 Edition,Sản phẩm Apple Watch Series 9 Edition chính hãng từ Apple.,21607033,61,Apple,apple_watch_series_9_edition.jpg
Galaxy S23 Ultra Edition,Sản phẩm Galaxy S23 Ultra Edition chính hãng từ Samsung.,10858819,58,Samsung,galaxy_s23_ultra_edition.jpg
Asus Chromebook Flip 5G,Sản phẩm Asus Chromebook Flip 5G chính hãng từ Asus.,18445994,30,Asus,asus_chromebook_flip_5g.jpg
Sony HT-A7000 Plus,Sản phẩm Sony HT-A7000 Plus chính hãng từ Sony.,19226181,17,Sony,sony_ht-a7000_plus.jpg
Canon PowerShot G7 X Pro,Sản phẩm Canon PowerShot G7 X Pro chính hãng từ Canon.,11332090,37,Canon,canon_powershot_g7_x_pro.jpg
Apple Watch Series 9 5G,Sản phẩm Apple Watch Series 9 5G chính hãng từ Apple.,43530854,88,Apple,apple_watch_series_9_5g.jpg
Galaxy S23 Ultra Lite,Sản phẩm Galaxy S23 Ultra Lite chính hãng từ Samsung.,6744379,63,Samsung,galaxy_s23_ultra_lite.jpg
Asus Zenbook 14 Edition,Sản phẩm Asus Zenbook 14 Edition chính hãng từ Asus.,10407593,57,Asus,asus_zenbook_14_edition.jpg
Sony PlayStation 5 Edition,Sản phẩm Sony PlayStation 5 Edition chính hãng từ Sony.,35979050,76,Sony,sony_playstation_5_edition.jpg
Canon PIXMA G3010 Pro,Sản phẩm Canon PIXMA G3010 Pro chính hãng từ Canon.,26705554,93,Canon,canon_pixma_g3010_pro.jpg
Apple Watch Series 9 2023,Sản phẩm Apple Watch Series 9 2023 chính hãng từ Apple.,10028768,97,Apple,apple_watch_series_9_2023.jpg
Galaxy S23 Ultra 5G,Sản phẩm Galaxy S23 Ultra 5G chính hãng từ Samsung.,27277909,52,Samsung,galaxy_s23_ultra_5g.jpg
Asus Chromebook Flip 2023,Sản phẩm Asus Chromebook Flip 2023 chính hãng từ Asus.,30086074,82,Asus,asus_chromebook_flip_2023.jpg
Sony SRS-XB43 2023,Sản phẩm Sony SRS-XB43 2023 chính hãng từ Sony.,35908153,23,Sony,sony_srs-xb43_2023.jpg
Canon PIXMA G3010 Edition,Sản phẩm Canon PIXMA G3010 Edition chính hãng từ Canon.,42004977,65,Canon,canon_pixma_g3010_edition.jpg
Apple Watch Series 9 SE,Sản phẩm Apple Watch Series 9 SE chính hãng từ Apple.,25103840,44,Apple,apple_watch_series_9_se.jpg
Galaxy A54 Lite,Sản phẩm Galaxy A54 Lite chính hãng từ Samsung.,21173138,11,Samsung,galaxy_a54_lite.jpg
Asus ROG Strix 5G,Sản phẩm Asus ROG Strix 5G chính hãng từ Asus.,21946067,44,Asus,asus_rog_strix_5g.jpg
Sony ZV-E10 Lite,Sản phẩm Sony ZV-E10 Lite chính hãng từ Sony.,31523573,96,Sony,sony_zv-e10_lite.jpg
Canon imageCLASS MF244dw 2023,Sản phẩm Canon imageCLASS MF244dw 2023 chính hãng từ Canon.,34316757,95,Canon,canon_imageclass_mf244dw_2023.jpg
iPhone 14 Pro Max Plus,Sản phẩm iPhone 14 Pro Max Plus chính hãng từ Apple.,6942989,91,Apple,iphone_14_pro_max_plus.jpg
Galaxy A54 2023,Sản phẩm Galaxy A54 2023 chính hãng từ Samsung.,25901633,54,Samsung,galaxy_a54_2023.jpg
Asus Chromebook Flip Max,Sản phẩm Asus Chromebook Flip Max chính hãng từ Asus.,21109396,19,Asus,asus_chromebook_flip_max.jpg
Sony Bravia XR Max,Sản phẩm Sony Bravia XR Max chính hãng từ Sony.,40796874,21,Sony,sony_bravia_xr_max.jpg
Canon SELPHY CP1300 2023,Sản phẩm Canon SELPHY CP1300 2023 chính hãng từ Canon.,32495799,48,Canon,canon_selphy_cp1300_2023.jpg
iPad Pro Max,Sản phẩm iPad Pro Max chính hãng từ Apple.,12388206,63,Apple,ipad_pro_max.jpg
Galaxy Z Fold4 SE,Sản phẩm Galaxy Z Fold4 SE chính hãng từ Samsung.,42787454,78,Samsung,galaxy_z_fold4_se.jpg
Asus Chromebook Flip 2023,Sản phẩm Asus Chromebook Flip 2023 chính hãng từ Asus.,13375091,19,Asus,asus_chromebook_flip_2023.jpg
Sony WH-1000XM5 Max,Sản phẩm Sony WH-1000XM5 Max chính hãng từ Sony.,17575754,75,Sony,sony_wh-1000xm5_max.jpg
Canon imageCLASS MF244dw Lite,Sản phẩm Canon imageCLASS MF244dw Lite chính hãng từ Canon.,5590601,96,Canon,canon_imageclass_mf244dw_lite.jpg
AirPods Pro SE,Sản phẩm AirPods Pro SE chính hãng từ Apple.,10672500,69,Apple,airpods_pro_se.jpg
Galaxy S23 Ultra Lite,Sản phẩm Galaxy S23 Ultra Lite chính hãng từ Samsung.,26970727,62,Samsung,galaxy_s23_ultra_lite.jpg
Asus ROG Strix SE,Sản phẩm Asus ROG Strix SE chính hãng từ Asus.,30520006,33,Asus,asus_rog_strix_se.jpg
Sony WH-1000XM5 Edition,Sản phẩm Sony WH-1000XM5 Edition chính hãng từ Sony.,17018968,85,Sony,sony_wh-1000xm5_edition.jpg
Canon SELPHY CP1300 Max,Sản phẩm Canon SELPHY CP1300 Max chính hãng từ Canon.,44199708,20,Canon,canon_selphy_cp1300_max.jpg
MacBook Pro 16 2023,Sản phẩm MacBook Pro 16 2023 chính hãng từ Apple.,27088379,50,Apple,macbook_pro_16_2023.jpg
Galaxy S23 Ultra Lite,Sản phẩm Galaxy S23 Ultra Lite chính hãng từ Samsung.,32817300,50,Samsung,galaxy_s23_ultra_lite.jpg
Asus ROG Phone 6 SE,Sản phẩm Asus ROG Phone 6 SE chính hãng từ Asus.,5028994,27,Asus,asus_rog_phone_6_se.jpg
Sony PlayStation 5 Lite,Sản phẩm Sony PlayStation 5 Lite chính hãng từ Sony.,10429753,82,Sony,sony_playstation_5_lite.jpg
Canon RF 24-70mm Edition,Sản phẩm Canon RF 24-70mm Edition chính hãng từ Canon.,31878217,11,Canon,canon_rf_24-70mm_edition.jpg
iPhone 14 Pro Max Plus,Sản phẩm iPhone 14 Pro Max Plus chính hãng từ Apple.,18832846,72,Apple,iphone_14_pro_max_plus.jpg
Galaxy Tab S8 Edition,Sản phẩm Galaxy Tab S8 Edition chính hãng từ Samsung.,22509003,91,Samsung,galaxy_tab_s8_edition.jpg
Asus ROG Phone 6 Max,Sản phẩm Asus ROG Phone 6 Max chính hãng từ Asus.,43931820,49,Asus,asus_rog_phone_6_max.jpg
Sony HT-A7000 5G,Sản phẩm Sony HT-A7000 5G chính hãng từ Sony.,33976871,27,Sony,sony_ht-a7000_5g.jpg
Canon PIXMA G3010 Edition,Sản phẩm Canon PIXMA G3010 Edition chính hãng từ Canon.,12872889,96,Canon,canon_pixma_g3010_edition.jpg
iPad Pro Plus,Sản phẩm iPad Pro Plus chính hãng từ Apple.,13514051,69,Apple,ipad_pro_plus.jpg
Galaxy Buds2 Pro Max,Sản phẩm Galaxy Buds2 Pro Max chính hãng từ Samsung.,30894304,86,Samsung,galaxy_buds2_pro_max.jpg
Asus TUF Gaming F15 Max,Sản phẩm Asus TUF Gaming F15 Max chính hãng từ Asus.,36904808,40,Asus,asus_tuf_gaming_f15_max.jpg
Sony Bravia XR Plus,Sản phẩm Sony Bravia XR Plus chính hãng từ Sony.,36316955,58,Sony,sony_bravia_xr_plus.jpg
Canon RF 24-70mm 2023,Sản phẩm Canon RF 24-70mm 2023 chính hãng từ Canon.,22054634,20,Canon,canon_rf_24-70mm_2023.jpg
MacBook Air M2 SE,Sản phẩm MacBook Air M2 SE chính hãng từ Apple.,42841671,18,Apple,macbook_air_m2_se.jpg
Samsung Soundbar Plus,Sản phẩm Samsung Soundbar Plus chính hãng từ Samsung.,32200542,72,Samsung,samsung_soundbar_plus.jpg
Asus ProArt Display 2023,Sản phẩm Asus ProArt Display 2023 chính hãng từ Asus.,11057939,75,Asus,asus_proart_display_2023.jpg
Sony PlayStation 5 Plus,Sản phẩm Sony PlayStation 5 Plus chính hãng từ Sony.,5783961,91,Sony,sony_playstation_5_plus.jpg
Canon EOS R5 Plus,Sản phẩm Canon EOS R5 Plus chính hãng từ Canon.,25802053,41,Canon,canon_eos_r5_plus.jpg
MacBook Pro 16 2023,Sản phẩm MacBook Pro 16 2023 chính hãng từ Apple.,43903869,35,Apple,macbook_pro_16_2023.jpg
Galaxy A54 Edition,Sản phẩm Galaxy A54 Edition chính hãng từ Samsung.,42135523,81,Samsung,galaxy_a54_edition.jpg
Asus Chromebook Flip Plus,Sản phẩm Asus Chromebook Flip Plus chính hãng từ Asus.,35968670,14,Asus,asus_chromebook_flip_plus.jpg
Sony WH-1000XM5 Max,Sản phẩm Sony WH-1000XM5 Max chính hãng từ Sony.,13693596,31,Sony,sony_wh-1000xm5_max.jpg
Canon imageCLASS MF244dw Lite,Sản phẩm Canon imageCLASS MF244dw Lite chính hãng từ Canon.,11405161,12,Canon,canon_imageclass_mf244dw_lite.jpg
MacBook Air M2 Max,Sản phẩm MacBook Air M2 Max chính hãng từ Apple.,24843282,11,Apple,macbook_air_m2_max.jpg
Galaxy Buds2 Pro 2023,Sản phẩm Galaxy Buds2 Pro 2023 chính hãng từ Samsung.,32374938,65,Samsung,galaxy_buds2_pro_2023.jpg
Asus ProArt Display SE,Sản phẩm Asus ProArt Display SE chính hãng từ Asus.,39979574,71,Asus,asus_proart_display_se.jpg
Sony Bravia XR Max,Sản phẩm Sony Bravia XR Max chính hãng từ Sony.,43445174,37,Sony,sony_bravia_xr_max.jpg
Canon EOS M50 Lite,Sản phẩm Canon EOS M50 Lite chính hãng từ Canon.,28998181,79,Canon,canon_eos_m50_lite.jpg
iPhone 13 Plus,Sản phẩm iPhone 13 Plus chính hãng từ Apple.,24779942,63,Apple,iphone_13_plus.jpg
Galaxy S23 Ultra 5G,Sản phẩm Galaxy S23 Ultra 5G chính hãng từ Samsung.,6656292,65,Samsung,galaxy_s23_ultra_5g.jpg
Asus ROG Phone 6 Plus,Sản phẩm Asus ROG Phone 6 Plus chính hãng từ Asus.,29140784,56,Asus,asus_rog_phone_6_plus.jpg
Sony Bravia XR 2023,Sản phẩm Sony Bravia XR 2023 chính hãng từ Sony.,38000855,28,Sony,sony_bravia_xr_2023.jpg
Canon EOS 90D 2023,Sản phẩm Canon EOS 90D 2023 chính hãng từ Canon.,41147217,19,Canon,canon_eos_90d_2023.jpg
iPhone 14 Pro Max SE,Sản phẩm iPhone 14 Pro Max SE chính hãng từ Apple.,20930584,87,Apple,iphone_14_pro_max_se.jpg
Samsung Soundbar Edition,Sản phẩm Samsung Soundbar Edition chính hãng từ Samsung.,43196642,95,Samsung,samsung_soundbar_edition.jpg
Asus Zenbook 14 Edition,Sản phẩm Asus Zenbook 14 Edition chính hãng từ Asus.,17600336,19,Asus,asus_zenbook_14_edition.jpg
Sony PlayStation 5 Lite,Sản phẩm Sony PlayStation 5 Lite chính hãng từ Sony.,30664525,22,Sony,sony_playstation_5_lite.jpg
Canon PIXMA G3010 SE,Sản phẩm Canon PIXMA G3010 SE chính hãng từ Canon.,39582091,36,Canon,canon_pixma_g3010_se.jpg
Apple TV 4K Max,Sản phẩm Apple TV 4K Max chính hãng từ Apple.,16254959,80,Apple,apple_tv_4k_max.jpg
Samsung QLED TV 2023,Sản phẩm Samsung QLED TV 2023 chính hãng từ Samsung.,35163678,38,Samsung,samsung_qled_tv_2023.jpg
Asus ProArt Display Pro,Sản phẩm Asus ProArt Display Pro chính hãng từ Asus.,35387786,90,Asus,asus_proart_display_pro.jpg
